time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
20.8,1207460753.5628,5813880310.8307,782588835.91483,12.937592424639,3840058249.6846,0.011849247026049,274.34996344755,0.02101632
20.9,1215978036.5836,5840781077.5774,800972126.25533,12.937592424639,3840058249.6846,0.011849247026049,273.2340012482,0.021118405
21,1224418104.4271,5867570831.0574,819321619.33619,12.937592424639,3840058249.6846,0.011849247026049,272.12543589839,0.0212205
21.1,1232781737.0786,5894250308.8903,837637272.79017,12.937592424639,3840058249.6846,0.011849247026049,271.02419695126,0.021322605
21.2,1241069704.3299,5920820241.6723,855919047.41061,12.937592424639,3840058249.6846,0.011849247026049,269.93021478525,0.02142472
21.3,1249282765.9372,5947281353.0583,874166907.09892,12.937592424639,3840058249.6846,0.011849247026049,268.84342058903,0.021526845
21.4,1257421671.7721,5973634359.8427,892380818.76672,12.937592424639,3840058249.6846,0.011849247026049,267.76374635665,0.02162898
21.5,1265487161.9608,5999879972.0401,910560752.29224,12.937592424639,3840058249.6846,0.011849247026049,266.69112487164,0.021731125
21.6,1273479967.0818,6026018892.964,928706680.40756,12.937592424639,3840058249.6846,0.011849247026049,265.6254897061,0.02183328
21.7,1281400808.2545,6052051819.3052,946818578.67804,12.937592424639,3840058249.6846,0.011849247026049,264.56677520071,0.021935445
21.8,1289250397.322,6077979441.2091,964896425.3955,12.937592424639,3840058249.6846,0.011849247026049,263.51491646331,0.02203762
21.9,1297029436.9838,6103802442.3518,982940201.53886,12.937592424639,3840058249.6846,0.011849247026049,262.46984935393,0.022139805
22,1304738620.9374,6129521500.0153,1000949890.6773,12.937592424639,3840058249.6846,0.011849247026049,261.43151048164,0.022242
22.1,1312378634.0192,6155137285.1625,1018925478.935,12.937592424639,3840058249.6846,0.011849247026049,260.39983718971,0.022344205
22.2,1319950152.3379,6180650462.5101,1036866954.9155,12.937592424639,3840058249.6846,0.011849247026049,259.37476754894,0.02244642
22.3,1327453843.4035,6206061690.6012,1054774309.6456,12.937592424639,3840058249.6846,0.011849247026049,258.35624034762,0.022548645
22.4,1334890366.2696,6231371621.8775,1072647536.5017,12.937592424639,3840058249.6846,0.011849247026049,257.34419508519,0.02265088
22.5,1342260371.6645,6256580902.7493,1090486631.17,12.937592424639,3840058249.6846,0.011849247026049,256.3385719598,0.022753125
22.6,1349564502.0954,6281690173.6661,1108291591.5803,12.937592424639,3840058249.6846,0.011849247026049,255.33931186116,0.02285538
22.7,1356803392.0044,6306700069.1849,1126062417.8434,12.937592424639,3840058249.6846,0.011849247026049,254.34635636296,0.022957645
22.8,1363977667.8767,6331611218.0389,1143799112.2036,12.937592424639,3840058249.6846,0.011849247026049,253.35964771306,0.02305992
22.9,1371087948.3522,6356424243.2046,1161501678.9885,12.937592424639,3840058249.6846,0.011849247026049,252.37912882413,0.023162205
23,1378134844.3695,6381139761.968,1179170124.5433,12.937592424639,3840058249.6846,0.011849247026049,251.40474326784,0.0232645
23.1,1385118959.2597,6405758385.9905,1196804457.1952,12.937592424639,3840058249.6846,0.011849247026049,250.43643526348,0.023366805
23.2,1392040888.8702,6430280721.3733,1214404687.1856,12.937592424639,3840058249.6846,0.011849247026049,249.47414967295,0.02346912
23.3,1398901221.6784,6454707368.7217,1231970826.6376,12.937592424639,3840058249.6846,0.011849247026049,248.51783198969,0.023571445
23.4,1405700538.9084,6479038923.2079,1249502889.4945,12.937592424639,3840058249.6846,0.011849247026049,247.5674283329,0.02367378
23.5,1412439414.6354,6503275974.6337,1267000891.484,12.937592424639,3840058249.6846,0.011849247026049,246.62288543768,0.023776125
23.6,1419118415.8837,6527419107.4913,1284464850.063,12.937592424639,3840058249.6846,0.011849247026049,245.68415064876,0.02387848
23.7,1425738102.7476,6551468901.0249,1301894784.375,12.937592424639,3840058249.6846,0.011849247026049,244.75117191231,0.023980845
23.8,1432299028.4952,6575425929.29,1319290715.2053,12.937592424639,3840058249.6846,0.011849247026049,243.82389776833,0.02408322
23.9,1438801739.6568,6599290761.213,1336652664.9449,12.937592424639,3840058249.6846,0.011849247026049,242.90227734201,0.024185605
24,1445246776.1373,6623063960.6492,1353980657.5442,12.937592424639,3840058249.6846,0.011849247026049,241.98626033687,0.024288
