time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
9.7,758159643.48205,2354356638.5586,0,12.9375,1602978820.4554,0.0049826203207676,322.91233210286,0.0097470449999999
9.8,758476855.47687,2386390499.8759,0,12.9375,1634829245.18,0.0050810876308122,322.97986180544,0.0098480199999998
9.9,758794102.49298,2418427897.1959,0,12.9375,1666683213.1905,0.0051795452752673,323.04738483436,0.009949005
10,759111384.51186,2450468829.16,0,12.9375,1698540723.1389,0.0052779932560374,323.11490119116,0.01005
10.1,759428701.52574,2482513294.4101,0,12.9375,1730401773.6801,0.0053764315750332,323.18241087602,0.010151005
10.2,759746053.51445,2514561291.5887,0,12.9375,1762266363.4658,0.0054748602341535,323.24991389152,0.01025202
10.3,760063440.46838,2546612819.3388,0,12.9375,1794134491.151,0.0055732792353045,323.31741023846,0.010353045
10.4,760380862.37224,2578667876.3038,0,12.9375,1826006155.3901,0.0056716885803896,323.38489991826,0.01045408
10.5,760698319.21722,2610726461.1279,0,12.9375,1857881354.8382,0.0057700882713114,323.45238293222,0.010555125
10.6,761015810.98527,2642788572.4557,0,12.9375,1889760088.1515,0.0058684783099731,323.51985928162,0.01065618
10.7,761333337.66312,2674854208.9322,0,12.9375,1921642353.9835,0.005966858698269,323.58732896915,0.010757245
10.8,761650899.24075,2706923369.2032,0,12.9375,1953528150.9969,0.006065229438118,323.65479199268,0.01085832
10.9,761968495.69833,2738996051.9147,0,12.9375,1985417477.8451,0.0061635905314091,323.72224835585,0.010959405
11,762286127.03332,2771072255.7135,0,12.9375,2017310333.1854,0.0062619419800407,323.7896980603,0.0110605
11.1,762603793.2261,2803151979.2469,0,12.9375,2049206715.6762,0.006360283785913,323.85714110724,0.011161605
11.2,762921494.25452,2835235221.1626,0,12.9375,2081106623.9788,0.0064586159509321,323.92457749661,0.01126272
11.3,763239230.11779,2867321980.1088,0,12.9375,2113010056.7502,0.006556938476989,323.99200723109,0.011363845
11.4,763557000.79825,2899412254.7346,0,12.9375,2144917012.6507,0.0066552513659831,324.05943031187,0.01146498
11.5,763874806.28614,2931506043.6891,0,12.9375,2176827490.3412,0.0067535546198134,324.12684673979,0.011566125
11.6,764192646.56255,2963603345.6224,0,12.9375,2208741488.4834,0.0068518482403783,324.19425651591,0.01166728
11.7,764510521.61879,2995704159.1848,0,12.9375,2240659005.7373,0.00695013222957,324.26165964221,0.011768445
11.8,764828431.43432,3027808483.0273,0,12.9375,2272580040.7655,0.0070484065892858,324.32905611989,0.01186962
11.9,765146375.99528,3059916315.8013,0,12.9375,2304504592.2306,0.0071466713214211,324.39644595002,0.011970805
12,765464355.30225,3092027656.159,0,12.9375,2336432658.7936,0.0072449264278638,324.46382913539,0.012072
12.1,765782369.33175,3124142502.7528,0,12.9375,2368364239.1239,0.0073431719105266,324.53120567336,0.012173205
12.2,766100418.0673,3156260854.2357,0,12.9375,2400299331.8799,0.0074414077712847,324.59857556908,0.01227442
12.3,766418501.50571,3188382709.2615,0,12.9375,2432237935.7271,0.0075396340120342,324.66593882312,0.012375645
12.4,766736619.62603,3220508066.4841,0,12.9375,2464180049.3332,0.0076378506346748,324.73329543531,0.01247688
12.5,767054772.41651,3252636924.5583,0,12.9375,2496125671.3613,0.0077360576410909,324.80064540842,0.012578125
12.6,767372959.86018,3284769282.1392,0,12.9375,2528074800.4786,0.0078342550331763,324.86798874325,0.01267938
12.7,767691181.95022,3316905137.8825,0,12.9375,2560027435.3507,0.0079324428128189,324.93532544162,0.012780645
12.8,768009438.67434,3349044490.4445,0,12.9375,2591983574.6467,0.008030620981914,325.00265550386,0.01288192
12.9,768327730.00866,3381187338.4819,0,12.9375,2623943217.0341,0.0081287895423508,325.0699789313,0.012983205
13,768646055.95192,3413333680.652,0,12.9375,2655906361.1796,0.0082269484960133,325.1372957262,0.0130845
13.1,768964416.48741,3445483515.6126,0,12.9375,2687873005.752,0.0083250978447902,325.20460588985,0.013185805
13.2,769282811.59769,3477636842.0221,0,12.9375,2719843149.4221,0.0084232375905737,325.27190942266,0.01328712
13.3,769601241.27029,3509793658.5393,0,12.9375,2751816790.8589,0.0085213677352489,325.33920632634,0.013388445
13.4,769919705.49798,3541953963.8235,0,12.9375,2783793928.733,0.0086194882807029,325.40649660216,0.01348978
13.5,770238204.25731,3574117756.5347,0,12.9375,2815774561.7158,0.008717599228824,325.4737802511,0.013591125
