stress,total_strain
334.14483242663,0.01999602
334.31172744764,0.020098005
334.47860629534,0.0202
334.64546897288,0.020302005
334.81231548336,0.02040402
334.97914582998,0.020506045
335.14596001578,0.02060808
335.31275804404,0.020710125
335.47953991784,0.02081218
335.64630564035,0.020914245
335.81305521487,0.02101632
335.97978864412,0.021118405
336.14650593158,0.0212205
336.31320708038,0.021322605
336.47989209361,0.02142472
336.64656097438,0.021526845
336.81321372582,0.02162898
336.97985035119,0.021731125
337.1464708535,0.02183328
337.31307523598,0.021935445
337.47966350169,0.02203762
337.64623565376,0.022139805
337.81279169539,0.022242
337.97933162978,0.022344205
338.14585545981,0.02244642
338.31236318888,0.022548645
338.47885482002,0.02265088
338.64533035628,0.022753125
338.81178980092,0.02285538
338.97823315702,0.022957645
339.14466042771,0.02305992
